2020-12-04 17:53:32.343467|INFO    |ServerLibPriv |   |TeamSpeak 3 Server 3.13.2 (2020-11-18 11:37:32)
2020-12-04 17:53:32.343629|INFO    |ServerLibPriv |   |SystemInformation: Linux 5.4.0-56-generic #62-Ubuntu SMP Mon Nov 23 19:20:19 UTC 2020 x86_64 Binary: 64bit
2020-12-04 17:53:32.343664|INFO    |ServerLibPriv |   |Using hardware aes
2020-12-04 17:53:32.344123|INFO    |DatabaseQuery |   |dbPlugin name:    SQLite3 plugin, Version 3, (c)TeamSpeak Systems GmbH
2020-12-04 17:53:32.344145|INFO    |DatabaseQuery |   |dbPlugin version: 3.11.1
2020-12-04 17:53:32.344282|INFO    |DatabaseQuery |   |checking database integrity (may take a while)
2020-12-04 17:53:32.350038|INFO    |SQL           |   |db_CreateTables() tables created
2020-12-04 17:53:32.369488|WARNING |Accounting    |   |Unable to open licensekey.dat, falling back to limited functionality
2020-12-04 17:53:32.369773|INFO    |Accounting    |   |Licensing Information
2020-12-04 17:53:32.369794|INFO    |Accounting    |   |licensed to       : Anonymous
2020-12-04 17:53:32.369806|INFO    |Accounting    |   |type              : No License
2020-12-04 17:53:32.369821|INFO    |Accounting    |   |starting date     : Thu Oct  1 00:00:00 2020
2020-12-04 17:53:32.369833|INFO    |Accounting    |   |ending date       : Tue Nov  1 00:00:00 2022
2020-12-04 17:53:32.369841|INFO    |Accounting    |   |max virtualservers: 1
2020-12-04 17:53:32.369847|INFO    |Accounting    |   |max slots         : 32
2020-12-04 17:53:33.018854|INFO    |              |   |Puzzle precompute time: 632
2020-12-04 17:53:33.019536|INFO    |FileManager   |   |listening on 0.0.0.0:30033, [::]:30033
2020-12-04 17:53:33.020006|INFO    |VirtualSvrMgr |   |executing monthly interval
2020-12-04 17:53:33.020076|INFO    |VirtualSvrMgr |   |reset virtualserver traffic statistics
2020-12-04 17:53:33.021763|INFO    |Query         |   |Using a query thread pool size of 2
2020-12-04 17:53:33.034041|INFO    |Query         |   |listening for query on 0.0.0.0:10011, [::]:10011
2020-12-04 17:53:33.034160|INFO    |              |   |creating QUERY_SSH_RSA_HOST_KEY file: ssh_host_rsa_key
2020-12-04 17:53:33.176321|INFO    |              |   |myTeamSpeak identifier revocation list was downloaded successfully - all related features are activated
2020-12-04 17:53:34.416833|INFO    |Query         |   |listening for ssh query on 0.0.0.0:10022, [::]:10022
2020-12-04 17:53:34.416929|INFO    |Query         |   |listening for http query on 0.0.0.0:10080, [::]:10080
2020-12-04 17:53:34.417050|INFO    |CIDRManager   |   |updated query_ip_allowlist ips: 127.0.0.1/32, ::1/128, 
2020-12-04 17:53:41.220358|INFO    |ServerMain    |   |Received signal SIGTERM, shutting down.
