2020-12-04 18:02:36.987344|INFO    |VirtualServer |1  |permission 'i_channel_needed_join_power'(id:140) with values (value:100) was added by 'serveradmin'(id:1) to channel '[cspacer6]___'(id:12)
2020-12-04 18:02:36.987443|INFO    |VirtualServer |1  |permission 'i_channel_needed_subscribe_power'(id:142) with values (value:100) was added by 'serveradmin'(id:1) to channel '[cspacer6]___'(id:12)
2020-12-04 18:02:37.108074|INFO    |VirtualServer |1  |permission 'i_channel_needed_permission_modify_power'(id:86) with values (value:75) was added by 'serveradmin'(id:1) to channel '[cspacer]─▄▀▀▀▄─▄▀▀▀▄─────▄▀▀▀▄──▄█─'(id:13)
2020-12-04 18:02:37.108195|INFO    |VirtualServer |1  |permission 'i_channel_needed_join_power'(id:140) with values (value:100) was added by 'serveradmin'(id:1) to channel '[cspacer]─▄▀▀▀▄─▄▀▀▀▄─────▄▀▀▀▄──▄█─'(id:13)
2020-12-04 18:02:37.108305|INFO    |VirtualServer |1  |permission 'i_channel_needed_subscribe_power'(id:142) with values (value:100) was added by 'serveradmin'(id:1) to channel '[cspacer]─▄▀▀▀▄─▄▀▀▀▄─────▄▀▀▀▄──▄█─'(id:13)
2020-12-04 18:02:37.214938|INFO    |VirtualServer |1  |permission 'i_channel_needed_permission_modify_power'(id:86) with values (value:75) was added by 'serveradmin'(id:1) to channel '[cspacer]────▄▀───▄▄█──▀─────▄▀─█───█─'(id:14)
2020-12-04 18:02:37.215243|INFO    |VirtualServer |1  |permission 'i_channel_needed_join_power'(id:140) with values (value:100) was added by 'serveradmin'(id:1) to channel '[cspacer]────▄▀───▄▄█──▀─────▄▀─█───█─'(id:14)
2020-12-04 18:02:37.215484|INFO    |VirtualServer |1  |permission 'i_channel_needed_subscribe_power'(id:142) with values (value:100) was added by 'serveradmin'(id:1) to channel '[cspacer]────▄▀───▄▄█──▀─────▄▀─█───█─'(id:14)
2020-12-04 18:02:37.314071|INFO    |VirtualServer |1  |permission 'i_channel_needed_permission_modify_power'(id:86) with values (value:75) was added by 'serveradmin'(id:1) to channel '[cspacer]──▄▀───────█──────▄▀───█───█─'(id:15)
2020-12-04 18:02:37.314198|INFO    |VirtualServer |1  |permission 'i_channel_needed_join_power'(id:140) with values (value:100) was added by 'serveradmin'(id:1) to channel '[cspacer]──▄▀───────█──────▄▀───█───█─'(id:15)
2020-12-04 18:02:37.314290|INFO    |VirtualServer |1  |permission 'i_channel_needed_subscribe_power'(id:142) with values (value:100) was added by 'serveradmin'(id:1) to channel '[cspacer]──▄▀───────█──────▄▀───█───█─'(id:15)
2020-12-04 18:02:37.414625|INFO    |VirtualServer |1  |permission 'i_channel_needed_permission_modify_power'(id:86) with values (value:75) was added by 'serveradmin'(id:1) to channel '[cspacer]─█▄▄▄▄─▀▄▄▄▀──▀──█▄▄▄▄─█▄▄▄█─'(id:16)
2020-12-04 18:02:37.414782|INFO    |VirtualServer |1  |permission 'i_channel_needed_join_power'(id:140) with values (value:100) was added by 'serveradmin'(id:1) to channel '[cspacer]─█▄▄▄▄─▀▄▄▄▀──▀──█▄▄▄▄─█▄▄▄█─'(id:16)
2020-12-04 18:02:37.414879|INFO    |VirtualServer |1  |permission 'i_channel_needed_subscribe_power'(id:142) with values (value:100) was added by 'serveradmin'(id:1) to channel '[cspacer]─█▄▄▄▄─▀▄▄▄▀──▀──█▄▄▄▄─█▄▄▄█─'(id:16)
2020-12-04 18:02:37.513076|INFO    |VirtualServer |1  |permission 'i_channel_needed_permission_modify_power'(id:86) with values (value:75) was added by 'serveradmin'(id:1) to channel '[cspacer11]___'(id:17)
2020-12-04 18:02:37.513225|INFO    |VirtualServer |1  |permission 'i_channel_needed_join_power'(id:140) with values (value:100) was added by 'serveradmin'(id:1) to channel '[cspacer11]___'(id:17)
2020-12-04 18:02:37.513342|INFO    |VirtualServer |1  |permission 'i_channel_needed_subscribe_power'(id:142) with values (value:100) was added by 'serveradmin'(id:1) to channel '[cspacer11]___'(id:17)
2020-12-04 18:02:37.608398|INFO    |VirtualServer |1  |permission 'i_channel_needed_permission_modify_power'(id:86) with values (value:75) was added by 'serveradmin'(id:1) to channel '[cspacer12]Talk'(id:18)
2020-12-04 18:02:37.608592|INFO    |VirtualServer |1  |permission 'i_channel_needed_join_power'(id:140) with values (value:100) was added by 'serveradmin'(id:1) to channel '[cspacer12]Talk'(id:18)
2020-12-04 18:02:37.608728|INFO    |VirtualServer |1  |permission 'i_channel_needed_subscribe_power'(id:142) with values (value:100) was added by 'serveradmin'(id:1) to channel '[cspacer12]Talk'(id:18)
2020-12-04 18:02:37.707701|INFO    |VirtualServer |1  |permission 'i_channel_needed_permission_modify_power'(id:86) with values (value:75) was added by 'serveradmin'(id:1) to channel '[cspacer13]___'(id:19)
2020-12-04 18:02:37.707820|INFO    |VirtualServer |1  |permission 'i_channel_needed_join_power'(id:140) with values (value:100) was added by 'serveradmin'(id:1) to channel '[cspacer13]___'(id:19)
2020-12-04 18:02:37.707925|INFO    |VirtualServer |1  |permission 'i_channel_needed_subscribe_power'(id:142) with values (value:100) was added by 'serveradmin'(id:1) to channel '[cspacer13]___'(id:19)
2020-12-04 18:02:37.809211|INFO    |VirtualServer |1  |permission 'i_channel_needed_permission_modify_power'(id:86) with values (value:75) was added by 'serveradmin'(id:1) to channel '● Talk 1'(id:20)
2020-12-04 18:02:37.809348|INFO    |VirtualServer |1  |permission 'i_channel_needed_subscribe_power'(id:142) with values (value:0) was added by 'serveradmin'(id:1) to channel '● Talk 1'(id:20)
2020-12-04 18:02:37.905122|INFO    |VirtualServer |1  |permission 'i_channel_needed_permission_modify_power'(id:86) with values (value:75) was added by 'serveradmin'(id:1) to channel '● Talk 2'(id:21)
2020-12-04 18:02:37.905250|INFO    |VirtualServer |1  |permission 'i_channel_needed_subscribe_power'(id:142) with values (value:0) was added by 'serveradmin'(id:1) to channel '● Talk 2'(id:21)
