2021-03-05 21:00:58.948676|INFO    |ServerLibPriv |   |TeamSpeak 3 Server 3.13.2 (2020-11-18 11:37:32)
2021-03-05 21:00:58.949011|INFO    |ServerLibPriv |   |SystemInformation: Linux 5.4.0-56-generic #62-Ubuntu SMP Mon Nov 23 19:20:19 UTC 2020 x86_64 Binary: 64bit
2021-03-05 21:00:58.949033|INFO    |ServerLibPriv |   |Using hardware aes
2021-03-05 21:00:58.954935|INFO    |DatabaseQuery |   |dbPlugin name:    SQLite3 plugin, Version 3, (c)TeamSpeak Systems GmbH
2021-03-05 21:00:58.954961|INFO    |DatabaseQuery |   |dbPlugin version: 3.11.1
2021-03-05 21:00:58.961058|INFO    |DatabaseQuery |   |checking database integrity (may take a while)
2021-03-05 21:00:59.106727|WARNING |Accounting    |   |Unable to open licensekey.dat, falling back to limited functionality
2021-03-05 21:00:59.108472|INFO    |Accounting    |   |Licensing Information
2021-03-05 21:00:59.108493|INFO    |Accounting    |   |licensed to       : Anonymous
2021-03-05 21:00:59.108502|INFO    |Accounting    |   |type              : No License
2021-03-05 21:00:59.108513|INFO    |Accounting    |   |starting date     : Thu Oct  1 00:00:00 2020
2021-03-05 21:00:59.108521|INFO    |Accounting    |   |ending date       : Tue Nov  1 00:00:00 2022
2021-03-05 21:00:59.108527|INFO    |Accounting    |   |max virtualservers: 1
2021-03-05 21:00:59.108534|INFO    |Accounting    |   |max slots         : 32
2021-03-05 21:01:00.051539|INFO    |              |   |Puzzle precompute time: 920
2021-03-05 21:01:00.052338|INFO    |FileManager   |   |listening on 0.0.0.0:30033, [::]:30033
2021-03-05 21:01:00.054303|INFO    |Query         |   |Using a query thread pool size of 2
2021-03-05 21:01:00.103889|INFO    |Query         |   |listening for query on 0.0.0.0:10011, [::]:10011
2021-03-05 21:01:00.105595|INFO    |Query         |   |listening for ssh query on 0.0.0.0:10022, [::]:10022
2021-03-05 21:01:00.105655|INFO    |Query         |   |listening for http query on 0.0.0.0:10080, [::]:10080
2021-03-05 21:01:00.105924|INFO    |CIDRManager   |   |updated query_ip_allowlist ips: 127.0.0.1/32, ::1/128, 
